session,filename,duration_s,tier,tier_weight,my_visibility,op_visibility,my_ring,op_ring,my_aggression,op_aggression,my_work_rate,op_work_rate,my_defense,op_defense,my_guard,op_guard,my_punches,op_punches,compute_ms
3f94fa52,yellow.mov,18,high,1.0,0.863,0.753,55,45,48,52,49,51,53,47,48,46,11,8,14.2
4e282a22,Video by criztianlaurente15.mp4,17,high,1.0,0.899,0.968,45,55,53,47,56,44,47,53,57,33,20,23,13.5
4e983f1f,box_green.mov,46,high,1.0,0.978,0.879,46,54,55,45,61,39,51,49,50,46,25,21,49.5
58d96cfe,box_gigguys.mov,47,high,1.0,0.961,0.918,59,41,55,45,57,43,47,53,40,57,30,12,61.0
b9d0c592,box_test.mov,94,high,1.0,0.889,0.698,55,45,53,47,59,42,60,41,49,55,47,36,99.7
cc7be917,Video by overtimeboxing.mp4,24,high,1.0,1.0,1.0,36,64,48,52,45,55,58,42,60,58,24,27,29.3
f5433363,Video by yoshikillznina.mp4,11,high,1.0,1.0,1.0,52,48,74,26,60,40,57,43,27,41,2,2,12.3
